left,right
,85
,66
,75
,54
,86
,78
,94
,67
,89
,74
,85
,70
,76
,78
,73
,69
,86
,72
,80
,63
,62
,85
,77
,93
,75
,30
,79
,55
,47
,61
,60
,71
,73
,39
,50
,73
,67
,62
,75
,63
,68
,74
,90
,49
,81
,65
,40
,70
,58
,48
,43
,53
,70
,52
,32
,82
,88
,81
,57
,81
,78
,74
,39
,86
,88
,67
,56
,74
,53
,88
,62
,80
,89
,86
,76
,58
,65
,52
,59
,68
,64
,94
,72
,58
,65
,68
,78
,75
,61
,55
,68
,52
,61
,80
,66
,89
,56
,81
,69
,51
,86
,72
,87
,68
,40
,43
,46
,80
,80
,52
,63
,61
,83
,51
,86
,69
,80
,69
,72
,76
,63
,80
,31
,55
,76
,69
,74
,27
,76
,72
,83
,71
,80
,87
,78
,59
,62
,69
,41
,75
,74
,89
,58
,65
,54
,34
,63
,74
,84
,51
,28
,64
,63
,49
,47
,47
,63
,71
,53
,81
,61
,53
,67
,77
,90
,44
,85
,60
,28
,84
,83
,55
,75
,81
,60
,80
,57
,27
,69
,78
,50
,80
,66
,36
,36
,84
,71
,71
,57
,76
,40
,62
,75
,88
,87
,39
,36
,62
,62
,75
,25
,76
,81
,62
,53
,59
,64
,54
,69
,74
,50
,60
,57
,75
,85
,87
,62
,70
,63
,78
,70
,85
,77
,35
,60
,34
,56
,65
,73
,83
,78
,55
,35
,91
,77
,82
,91
,64
,65
,80
,75
,44
,91
,91
,80
,69
,53
,61
,74
,78
,33
,84
,33
,88
,62
,75
,83
,77
,77
,87
,65
,85
,53
,37
,64
,51
,77
,84
,69
,81
,84
,62
,69
,39
,66
,74
,56
,84
,72
,52
,26
,73
,83
,65
,58
,61
,71
,78
,83
,42
,32
,76
,72
,83
,45
,54
,72
,66
,77
,82
,67
,57
,54
,70
,70
,81
,60
,65
,67
,74
,70
,45
,76
,65
,68
,28
,73
,57
,61
,63
,74
,65
,79
,74
,80
,50
,87
,69
,71
,88
,72
,27
,61
,84
,73
,68
,86
,72
,91
,55
,47
,87
,86
,87
,78
,74
,80
,78
,82
,85
,41
,30
,26
,86
,45
,42
,81
,89
,66
,77
,82
,60
,44
,72
,60
,67
,82
,73
,79
,44
,79
,74
,48
,80
,65
,76
,89
,80
,70
,93
,35
,78
,38
,32
,78
,61
,59
,35
,68
,87
,87
,96
,82
,72
,87
,81
,46
,50
,77
,80
,35
,70
,81
,72
,55
,84
,63
,69
,29
,45
,73
,58
,81
,82
,71
,62
,95
,84
,52
,76
,85
,85
,56
,87
,56
,79
,81
,51
,67
,52
,65
,45
,84
,48
,71
,74
,59
,66
,62
,87
,63
,85
,42
,82
,77
,52
,53
,83
,56
,87
,70
,79
,63
,39
,77
,77
,67
,72
,67
,75
,91
,47
,75
,60
,79
,55
,78
,76
,69
,84
,62
,74
,64
,60
,54
,34
,82
,86
,58
,58
,84
,87
,87
,66
,59
,79
,64
,67
,69
,75
,55
,87
,30
,80
,26
,77
,68
,86
,84
,67
,62
,67
,74
,83
,77
,81
,40
,53
,56
,63
,69
,63
,64
,82
,88
,71
,74
,60
,88
,55
,23
,79
,82
,83
,82
,55
,84
,59
,47
,85
,81
,77
,75
,81
,84
,79
,74
,48
,48
,78
,43
,86
,23
,80
,28
,90
,52
,85
,70
,74
,53
,73
,73
,85
,74
,84
,45
,64
,44
,75
,51
,83
,41
,77
,70
,86
,59
,43
,74
,80
,57
,78
,63
,77
,64
,76
,78
,68
,63
,79
,43
,68
,57
,65
,39
,74
,83
,65
,79
,84
,76
,68
,74
,68
,77
,70
,53
,71
,69
,70
,68
,76
,58
,32
,63
,78
,54
,35
,54
,77
,32
,69
,83
,70
,61
,37
,35
,70
,50
,72
,61
,75
,77
,59
,67
,81
,70
,87
,68
,47
,88
,83
,40
,76
,79
,80
,85
,35
,65
,32
,73
,55
,90
,83
,76
,69
,73
,51
,71
,66
,32
,80
,73
,71
,59
,26
,68
,72
,85
,60
,57
,85
,67
,78
,69
,81
,62
,31
,53
,83
,82
,74
,68
,68
,91
,73
,81
,65
,66
,78
,81
,73
,81
,53
,85
,77
,72
,83
,77
,32
,70
,41
,78
,74
,77
,66
,44
,52
,48
,68
,54
,87
,56
,49
,64
,73
,51
,20
,46
,83
,77
,46
,77
,83
,86
,66
,62
,79
,86
,82
,75
,79
,40
,85
,82
,44
,75
,61
,43
,56
,25
,75
,56
,77
,51
,56
,66
,72
,71
,45
,69
,69
,61
,66
,58
,88
,73
,82
,73
,79
,57
,73
,75
,71
,73
,76
,66
,65
,68
,77
,74
,81
,36
,34
,91
,77
,69
,69
,61
,91
,65
,76
,79
,74
,66
,57
,72
,76
,87
,76
,77
,87
,62
,80
,40
,97
,66
,88
,62
,57
,90
,42
,33
,79
,76
,62
,81
,75
,55
,57
,79
,75
,47
,74
,46
,57
,72
,68
,80
,51
,66
,82
,77
,78
,77
,73
,30
,50
,93
,84
,64
,74
,54
,83
,77
,42
,65
,52
,80
,71
,72
,64
,44
,83
,44
,73
,27
,69
,71
,68
,82
,58
,51
,41
,71
,54
,41
,90
,61
,85
,81
,59
,59
,35
,38
,89
,51
,83
,72
,84
,61
,60
,67
,68
,79
,73
,65
,64
,74
,82
,48
,60
,70
,82
,26
,89
,66
,80
,69
,73
,46
,85
,57
,82
,43
,34
,51
,61
,72
,81
,77
,59
,47
,62
,49
,79
,75
,64
,58
,69
,74
,77
,70
,37
,71
,80
,48
,70
,54
,64
,62
,66
,74
,80
,73
,62
,82
,84
,84
,47
,80
,68
,61
,62
,70
,54
,76
,74
,44
,73
,29
,62
,83
,61
,82
,82
,67
,70
,89
,65
,62
,71
,55
,64
,68
,85
,78
,47
,77
,90
,78
,78
,53
,76
,38
,74
,74
,37
,64
,99
,83
,30
,79
,58
,73
,78
,80
,58
,56
,65
,44
,71
,62
,77
,67
,66
,75
,86
,50
,58
,48
,76
,58
,79
,56
,78
,67
,70
,34
,72
,59
,67
,72
,70
,66
,94
,29
,72
,74
,59
,75
,89
,81
,35
,87
,81
,92
,81
,62
,63
,34
,67
,95
,49
,76
,67
,71
,80
,26
,89
,76
,87
,87
,66
,44
,66
,70
,40
,53
,68
,73
,96
,63
,66
,64
,48
,75
,81
,36
,64
,23
,29
,43
,79
,86
,43
,85
,84
,78
,79
,68
,60
,75
,76
,57
,52
,85
,70
,67
,79
,69
,80
,50
,70
,74
,72
,56
,65
,63
,91
,87
,72
,78
,55
,72
,71
,47
,89
,59
,51
,70
,57
,92
,31
,47
,85
,78
,79
,74
,58
,59
,90
,83
,43
,53
,70
,41
,35
,81
,88
,86
,42
,73
,59
,64
,64
,63
,74
,74
,75
,76
,60
,65
,71
,45
,78
,68
,89
,45
,76
,79
,85
,80
,66
,76
,23
,88
,53
,75
,46
,73
,64
,65
,74
,39
,88
,82
,51
,85
,77
,89
,46
,76
,41
,73
,74
,51
,69
,37
,80
,46
,63
